# Vepsian: Northern Veps
Kalag’	Kalagen	PROPN;GEN;SG
kazda	kazgat	V;IMP;POS;2;PL
kazda	ala kazva	V;IMP;NEG;2;SG
kazda	kazvaižin	V;PRS;COND;POS;1;SG
kazda	kazvaižid	V;PRS;COND;POS;2;SG
kazda	kazvaižid	V;PRS;COND;POS;2;PL
kazda	kazvaiži	V;PRS;COND;POS;3;SG
kazda	kazvaižim	V;PRS;COND;POS;1;PL
kazda	kaznuižin	V;PST;IPFV;COND;POS;1;SG
kazda	kaznuižid	V;PST;IPFV;COND;POS;2;SG
kazda	kaznuižid	V;PST;IPFV;COND;POS;2;PL
kazda	kaznuiži	V;PST;IPFV;COND;POS;3;SG
kazda	kaznuižim	V;PST;IPFV;COND;POS;1;PL
kazda	en kaznuiži	V;PST;IPFV;COND;NEG;1;SG
kazda	ed kaznuiži	V;PST;IPFV;COND;NEG;2;SG
kazda	ed kaznuiži	V;PST;IPFV;COND;NEG;2;PL
kazda	kazvai	V.PTCP;PRS;ACT
kazda	kazdud	V.PTCP;PST;PASS
kazda	kazdud	V.PTCP;PST;ACT;PL
kazda	en kaznu	V;PST;IPFV;IND;NEG;1;SG
kazda	ed kaznu	V;PST;IPFV;IND;NEG;2;SG
kazda	olen kaznu	V;PRS;PRF;IND;POS;1;SG
kazda	oled kaznu	V;PRS;PRF;IND;POS;2;SG
kazda	om kaznu	V;PRS;PRF;IND;POS;3;SG
kazda	en ole kaznu	V;PRS;PRF;IND;NEG;1;SG
kazda	ed ole kaznu	V;PRS;PRF;IND;NEG;2;SG
kazda	olin kaznu	V;PST;PRF;IND;POS;1;SG
kazda	olid kaznu	V;PST;PRF;IND;POS;2;SG
kazda	oli kaznu	V;PST;PRF;IND;POS;3;SG
kazda	en olnu kaznu	V;PST;PRF;IND;NEG;1;SG
kazda	ed olnu kaznu	V;PST;PRF;IND;NEG;2;SG
kazda	en kazvaiži	V;PRS;COND;NEG;1;SG
kazda	ed kazvaiži	V;PRS;COND;NEG;2;SG
kazda	em kaznuiži	V;PST;IPFV;COND;NEG;1;PL
kazda	kazdihe	V;PST;IPFV;IND;POS;3;PL
kazda	kazdihe	V;PASS;PST;IPFV
kazda	om kazdud	V;PASS;PRS;PRF
kazda	oli kazdud	V;PASS;PST;PRF
kazda	kazdaze	V;PRS;IND;POS;3;PL
kazda	kazdaze	V;PASS;PRS
kazda	ii kazva	V;PRS;IND;NEG;3;SG
kazda	em kazgii	V;PRS;IND;NEG;1;PL
kazda	ed kazgii	V;PRS;IND;NEG;2;PL
kazda	ii kazgii	V;PRS;IND;NEG;3;PL
kazda	ii kaznu	V;PST;IPFV;IND;NEG;3;SG
kazda	em kazdud	V;PST;IPFV;IND;NEG;1;PL
kazda	ed kazdud	V;PST;IPFV;IND;NEG;2;PL
kazda	ii kazdud	V;PST;IPFV;IND;NEG;3;PL
kazda	olem kazdud	V;PRS;PRF;IND;POS;1;PL
kazda	oled kazdud	V;PRS;PRF;IND;POS;2;PL
kazda	oma kazdud	V;PRS;PRF;IND;POS;3;PL
kazda	iilä kaznu	V;PRS;PRF;IND;NEG;3;SG
kazda	em olgii kazdud	V;PRS;PRF;IND;NEG;1;PL
kazda	ed olgii kazdud	V;PRS;PRF;IND;NEG;2;PL
kazda	ii olgii kazdud	V;PRS;PRF;IND;NEG;3;PL
kazda	olim kazdud	V;PST;PRF;IND;POS;1;PL
kazda	olid kazdud	V;PST;PRF;IND;POS;2;PL
kazda	ol’d’he kazdud	V;PST;PRF;IND;POS;3;PL
kazda	ii olnu kaznu	V;PST;PRF;IND;NEG;3;SG
kazda	em oldud kazdud	V;PST;PRF;IND;NEG;1;PL
kazda	ed oldud kazdud	V;PST;PRF;IND;NEG;2;PL
kazda	ii oldud kazdud	V;PST;PRF;IND;NEG;3;PL
kazda	algii kazgii	V;IMP;NEG;3;SG
kazda	algii kazgii	V;IMP;NEG;3;PL
kazda	algam kazgii	V;IMP;NEG;1;PL
kazda	algat kazgii	V;IMP;NEG;2;PL
kazda	kazvaiž	V;PRS;COND;POS;3;SG
kazda	kazdeiž	V;PRS;COND;POS;3;PL
kazda	en kazvaiž	V;PRS;COND;NEG;1;SG
kazda	ed kazvaiž	V;PRS;COND;NEG;2;SG
kazda	ii kazvaiž	V;PRS;COND;NEG;3;SG
kazda	ii kazvaiži	V;PRS;COND;NEG;3;SG
kazda	em kazdeiž	V;PRS;COND;NEG;1;PL
kazda	ed kazdeiž	V;PRS;COND;NEG;2;PL
kazda	ii kazdeiž	V;PRS;COND;NEG;3;PL
kazda	kaznižin	V;PST;IPFV;COND;POS;1;SG
kazda	kaznižid	V;PST;IPFV;COND;POS;2;SG
kazda	kaznižid	V;PST;IPFV;COND;POS;2;PL
kazda	kazniž	V;PST;IPFV;COND;POS;3;SG
kazda	kazniži	V;PST;IPFV;COND;POS;3;SG
kazda	kaznuiž	V;PST;IPFV;COND;POS;3;SG
kazda	kaznižim	V;PST;IPFV;COND;POS;1;PL
kazda	kazdeniž	V;PST;IPFV;COND;POS;3;PL
kazda	en kazniž	V;PST;IPFV;COND;NEG;1;SG
kazda	en kazniži	V;PST;IPFV;COND;NEG;1;SG
kazda	en kaznuiž	V;PST;IPFV;COND;NEG;1;SG
kazda	ed kazniž	V;PST;IPFV;COND;NEG;2;SG
kazda	ed kazniž	V;PST;IPFV;COND;NEG;2;PL
kazda	ed kazniži	V;PST;IPFV;COND;NEG;2;SG
kazda	ed kazniži	V;PST;IPFV;COND;NEG;2;PL
kazda	ed kaznuiž	V;PST;IPFV;COND;NEG;2;SG
kazda	ed kaznuiž	V;PST;IPFV;COND;NEG;2;PL
kazda	ii kazniž	V;PST;IPFV;COND;NEG;3;SG
kazda	ii kazniži	V;PST;IPFV;COND;NEG;3;SG
kazda	ii kaznuiž	V;PST;IPFV;COND;NEG;3;SG
kazda	ii kaznuiži	V;PST;IPFV;COND;NEG;3;SG
kazda	em kazniž	V;PST;IPFV;COND;NEG;1;PL
kazda	em kazniži	V;PST;IPFV;COND;NEG;1;PL
kazda	em kaznuiž	V;PST;IPFV;COND;NEG;1;PL
kazda	ii kazdeniž	V;PST;IPFV;COND;NEG;3;PL
keza	kezad	N;NOM;PL
keza	kezad	N;PRT;SG
keza	kezad	N;ACC;PL
keza	keza	N;NOM;SG
keza	keza	N;ACC;SG
keza	kezal	N;AT+ESS;SG
keza	kezoin	N;FRML;PL
keza	kezan	N;GEN;SG
keza	kezan	N;ACC;SG
keza	kezan	N;FRML;SG
keza	kezaks	N;TRANS;SG
keza	kezas	N;IN+ESS;SG
keza	kezaspäi	N;IN+ABL;SG
keza	kezalpäi	N;AT+ABL;SG
keza	kezale	N;AT+ALL;SG
keza	kezata	N;PRIV ;SG
keza	kezanke	N;COM;SG
keza	kezadme	N;PROL;SG
keza	kezannoks	N;APPRX;SG
keza	kezannopäi	N;ON/AT+ABL;SG
keza	kezoiden	N;GEN;PL
keza	kezoid	N;PRT;PL
keza	kezoikš	N;TRANS;PL
keza	kezoiš	N;IN+ESS;PL
keza	kezoišpäi	N;IN+ABL;PL
keza	kezoihe	N;IN+ALL;PL
keza	kezoil	N;AT+ESS;PL
keza	kezoilpäi	N;AT+ABL;PL
keza	kezoile	N;AT+ALL;PL
keza	kezoita	N;PRIV ;PL
keza	kezoidenke	N;COM;PL
keza	kezoidme	N;PROL;PL
keza	kezoidennoks	N;APPRX;PL
keza	kezoidennopäi	N;ON/AT+ABL;PL
keza	kezoihesai	N;TERM;PL
keza	kezoihepäi	N;PRP;PL
keza	kezaha	N;IN+ALL;SG
keza	kezha	N;IN+ALL;SG
keza	kezahasai	N;TERM;SG
keza	kezhasai	N;TERM;SG
keza	kezahapäi	N;PRP;SG
keza	kezhapäi	N;PRP;SG
mec	mecha	N;IN+ALL;SG
mif	mifoiden	N;GEN;PL
mušt	muštoho	N;IN+ALL;SG
mušt	muštho	N;IN+ALL;SG
mušt	muštod	N;NOM;PL
mušt	muštod	N;PRT;SG
mušt	muštod	N;ACC;PL
mušt	muštoks	N;TRANS;SG
mušt	mušt	N;NOM;SG
mušt	mušt	N;ACC;SG
mušt	mušton	N;GEN;SG
mušt	mušton	N;ACC;SG
mušt	mušton	N;FRML;SG
mušt	muštos	N;IN+ESS;SG
mušt	muštospäi	N;IN+ABL;SG
mušt	muštol	N;AT+ESS;SG
mušt	muštolpäi	N;AT+ABL;SG
mušt	muštole	N;AT+ALL;SG
mušt	muštota	N;PRIV ;SG
mušt	muštonke	N;COM;SG
mušt	muštodme	N;PROL;SG
mušt	muštonnoks	N;APPRX;SG
mušt	muštonnopäi	N;ON/AT+ABL;SG
mušt	muštohosai	N;TERM;SG
mušt	mušthosai	N;TERM;SG
mušt	muštohopäi	N;PRP;SG
mušt	mušthopäi	N;PRP;SG
mušt	muštoiden	N;GEN;PL
mušt	muštoid	N;PRT;PL
mušt	muštoin	N;FRML;PL
mušt	muštoikš	N;TRANS;PL
mušt	muštoiš	N;IN+ESS;PL
mušt	muštoišpäi	N;IN+ABL;PL
mušt	muštoihe	N;IN+ALL;PL
mušt	muštoil	N;AT+ESS;PL
mušt	muštoilpäi	N;AT+ABL;PL
mušt	muštoile	N;AT+ALL;PL
mušt	muštoita	N;PRIV ;PL
mušt	muštoidenke	N;COM;PL
mušt	muštoidme	N;PROL;PL
mušt	muštoidennoks	N;APPRX;PL
mušt	muštoidennopäi	N;ON/AT+ABL;PL
mušt	muštoihesai	N;TERM;PL
mušt	muštoihepäi	N;PRP;PL
olda	iilä	V;PRS;IND;NEG;3;SG
olda	olen	V;PRS;IND;POS;1;SG
olda	oliš	V;PST;IPFV;IND;POS;3;SG
olda	ol’	V;PST;IPFV;IND;POS;3;SG
olda	olim	V;PST;IPFV;IND;POS;1;PL
olda	ol’dhe	V;PRS;IND;POS;3;PL
olda	oled	V;PRS;IND;POS;2;SG
olda	oled	V;PRS;IND;POS;2;PL
olda	oliž	V;PRS;COND;POS;3;SG
olda	olin	V;PST;IPFV;IND;POS;1;SG
olda	oma	V;PRS;IND;POS;3;PL
olda	om	V;PRS;IND;POS;3;SG
olda	oli	V;PST;IPFV;IND;POS;3;SG
olda	olem	V;PRS;IND;POS;1;PL
olda	en ole	V;PRS;IND;NEG;1;SG
olda	ed ole	V;PRS;IND;NEG;2;SG
olda	ei olnu	V;PST;IPFV;IND;NEG;3;SG
olda	olid	V;PST;IPFV;IND;POS;2;SG
olda	olid	V;PST;IPFV;IND;POS;2;PL
olda	em olgii	V;PRS;IND;NEG;1;PL
olda	ed olgii	V;PRS;IND;NEG;2;PL
olda	ii olgii	V;PRS;IND;NEG;3;PL
olda	ol’d’he	V;PST;IPFV;IND;POS;3;PL
olda	en olnu	V;PST;IPFV;IND;NEG;1;SG
olda	ed olnu	V;PST;IPFV;IND;NEG;2;SG
olda	ii olnu	V;PST;IPFV;IND;NEG;3;SG
olda	em oldud	V;PST;IPFV;IND;NEG;1;PL
olda	ed oldud	V;PST;IPFV;IND;NEG;2;PL
olda	ii oldud	V;PST;IPFV;IND;NEG;3;PL
pesta	pezi	V;PST;IPFV;IND;POS;3;SG
pesta	peze	V;IMP;POS;2;SG
pesta	peznu	V.PTCP;PST;ACT
pesta	pestud	V.PTCP;PST;PASS
pesta	pezed	V;PRS;IND;POS;2;SG
pesta	pezed	V;PRS;IND;POS;2;PL
pesta	pesta	V;NFIN
pesta	pestihe	V;PST;IPFV;IND;POS;3;PL
pesta	pezii	V.PTCP;PRS;ACT
pesta	pestaze	V;PRS;IND;POS;3;PL
pesta	pezen	V;PRS;IND;POS;1;SG
pesta	pezem	V;PRS;IND;POS;1;PL
pesta	en peze	V;PRS;IND;NEG;1;SG
pesta	ed peze	V;PRS;IND;NEG;2;SG
pesta	pezim	V;PST;IPFV;IND;POS;1;PL
pesta	pezid	V;PST;IPFV;IND;POS;2;SG
pesta	pezid	V;PST;IPFV;IND;POS;2;PL
pesta	olen peznu	V;PRS;PRF;IND;POS;1;SG
pesta	oled peznu	V;PRS;PRF;IND;POS;2;SG
pesta	oli peznu	V;PST;PRF;IND;POS;3;SG
pesta	en ole peznu	V;PRS;PRF;IND;NEG;1;SG
pesta	ed ole peznu	V;PRS;PRF;IND;NEG;2;SG
pesta	olin peznu	V;PST;PRF;IND;POS;1;SG
pesta	olid peznu	V;PST;PRF;IND;POS;2;SG
pesta	peskaha	V;IMP;POS;3;SG
pesta	peskaha	V;IMP;POS;3;PL
pesta	ala peze	V;IMP;NEG;2;SG
pesta	pezižin	V;PRS;COND;POS;1;SG
pesta	pezižid	V;PRS;COND;POS;2;SG
pesta	pezižid	V;PRS;COND;POS;2;PL
pesta	peziži	V;PRS;COND;POS;3;SG
pesta	pezižim	V;PRS;COND;POS;1;PL
pesta	en peziži	V;PRS;COND;NEG;1;SG
pesta	ed peziži	V;PRS;COND;NEG;2;SG
pesta	pezzob	V;PRS;IND;POS;3;SG
pesta	ii peze	V;PRS;IND;NEG;3;SG
pesta	em peskii	V;PRS;IND;NEG;1;PL
pesta	ed peskii	V;PRS;IND;NEG;2;PL
pesta	ii peskii	V;PRS;IND;NEG;3;PL
pesta	pezin	V;PST;IPFV;IND;POS;1;SG
pesta	en peznu	V;PST;IPFV;IND;NEG;1;SG
pesta	ed peznu	V;PST;IPFV;IND;NEG;2;SG
pesta	ii peznu	V;PST;IPFV;IND;NEG;3;SG
pesta	em pestud	V;PST;IPFV;IND;NEG;1;PL
pesta	ed pestud	V;PST;IPFV;IND;NEG;2;PL
pesta	ii pestud	V;PST;IPFV;IND;NEG;3;PL
pesta	om peznu	V;PRS;PRF;IND;POS;3;SG
pesta	olem pestud	V;PRS;PRF;IND;POS;1;PL
pesta	oled pestud	V;PRS;PRF;IND;POS;2;PL
pesta	oma pestud	V;PRS;PRF;IND;POS;3;PL
pesta	iilä peznu	V;PRS;PRF;IND;NEG;3;SG
pesta	em olgii pestud	V;PRS;PRF;IND;NEG;1;PL
pesta	ed olgii pestud	V;PRS;PRF;IND;NEG;2;PL
pesta	ii olgii pestud	V;PRS;PRF;IND;NEG;3;PL
pesta	olim pestud	V;PST;PRF;IND;POS;1;PL
pesta	olid pestud	V;PST;PRF;IND;POS;2;PL
pesta	en olnu peznu	V;PST;PRF;IND;NEG;1;SG
pesta	ed olnu peznu	V;PST;PRF;IND;NEG;2;SG
pesta	ii olnu peznu	V;PST;PRF;IND;NEG;3;SG
pesta	em oldud pestud	V;PST;PRF;IND;NEG;1;PL
pesta	ed oldud pestud	V;PST;PRF;IND;NEG;2;PL
pesta	ii oldud pestud	V;PST;PRF;IND;NEG;3;PL
pesta	peskam	V;IMP;POS;1;PL
pesta	peskat	V;IMP;POS;2;PL
pesta	algii peskii	V;IMP;NEG;3;SG
pesta	algii peskii	V;IMP;NEG;3;PL
pesta	algam peskii	V;IMP;NEG;1;PL
pesta	algat peskii	V;IMP;NEG;2;PL
pesta	pesteiž	V;PRS;COND;POS;3;PL
pesta	em pesteiž	V;PRS;COND;NEG;1;PL
pesta	ed pesteiž	V;PRS;COND;NEG;2;PL
pesta	ii pesteiž	V;PRS;COND;NEG;3;PL
pesta	peznižin	V;PST;IPFV;COND;POS;1;SG
pesta	peznižid	V;PST;IPFV;COND;POS;2;SG
pesta	peznižid	V;PST;IPFV;COND;POS;2;PL
pesta	pezniži	V;PST;IPFV;COND;POS;3;SG
pesta	peznižim	V;PST;IPFV;COND;POS;1;PL
pesta	pesteniž	V;PST;IPFV;COND;POS;3;PL
pesta	en pezniž	V;PST;IPFV;COND;NEG;1;SG
pesta	ed pezniži	V;PST;IPFV;COND;NEG;2;SG
pesta	ed pezniži	V;PST;IPFV;COND;NEG;2;PL
pesta	em pezniži	V;PST;IPFV;COND;NEG;1;PL
pesta	ii pesteniž	V;PST;IPFV;COND;NEG;3;PL
pesta	peziž	V;PRS;COND;POS;3;SG
pesta	ii peziž	V;PRS;COND;NEG;3;SG
pesta	ii peziži	V;PRS;COND;NEG;3;SG
pesta	ii pezniž	V;PST;IPFV;COND;NEG;3;SG
pesta	ii pezniži	V;PST;IPFV;COND;NEG;3;SG
pesta	ol’d’he pestud	V;PST;PRF;IND;POS;3;PL
pestas	pezemei	V;PRS;IND;POS;1;SG
pestas	pezemei	V;PRS;IND;POS;1;PL
pestas	peznuze	V.PTCP;PST;ACT
pestas	en peste	V;PRS;IND;NEG;1;SG
pestas	ed peste	V;PRS;IND;NEG;2;SG
pestas	ii peste	V;PRS;IND;NEG;3;SG
pestas	pezihe	V;PST;IPFV;IND;POS;3;SG
pestas	pezihe	V;PST;IPFV;IND;POS;3;PL
pestas	peste	V;IMP;POS;2;SG
pestas	ala peste	V;IMP;NEG;2;SG
pestas	en pezižihe	V;PRS;COND;NEG;1;SG
pestas	ed pezižihe	V;PRS;COND;NEG;2;SG
pestas	ed pezižihe	V;PRS;COND;NEG;2;PL
pestas	ii pezižihe	V;PRS;COND;NEG;3;SG
pestas	ii pezižihe	V;PRS;COND;NEG;3;PL
pestas	em pezižihe	V;PRS;COND;NEG;1;PL
pestas	pezižihe	V;PRS;COND;POS;3;SG
pestas	pezižihe	V;PRS;COND;POS;3;PL
pestas	pezetei	V;PRS;IND;POS;2;SG
pestas	pezetei	V;PRS;IND;POS;2;PL
pestas	pezeze	V;PRS;IND;POS;3;SG
pestas	pezeze	V;PRS;IND;POS;3;PL
pestas	em peskiiže	V;PRS;IND;NEG;1;PL
pestas	ed peskiiže	V;PRS;IND;NEG;2;PL
pestas	ii peskiiže	V;PRS;IND;NEG;3;PL
pestas	pezimei	V;PST;IPFV;IND;POS;1;SG
pestas	pezimei	V;PST;IPFV;IND;POS;1;PL
pestas	pezitei	V;PST;IPFV;IND;POS;2;SG
pestas	pezitei	V;PST;IPFV;IND;POS;2;PL
pestas	en peznuze	V;PST;IPFV;IND;NEG;1;SG
pestas	ed peznuze	V;PST;IPFV;IND;NEG;2;SG
pestas	ed peznuze	V;PST;IPFV;IND;NEG;2;PL
pestas	ii peznuze	V;PST;IPFV;IND;NEG;3;SG
pestas	ii peznuze	V;PST;IPFV;IND;NEG;3;PL
